attack_type,target_system,outcome,timestamp,attacker_ip,target_ip,data_compromised_GB,attack_duration_min,security_tools_used,user_role,location,attack_severity,industry,response_time_min,mitigation_method
SQL Injection,Database,Success,2024-09-03 22:49:11.267356,232.226.250.216,60.15.173.91,82.54,53,MFA,Admin,Brazil,1,Technology,16,Patch
Phishing,Database,Success,2023-09-25 07:47:02.267361,248.60.238.126,192.119.162.169,51.08,171,WAF,External User,Russia,7,Government,140,Block IP
DDoS,API,Failure,2024-02-02 00:01:56.267366,56.48.100.70,236.138.37.173,57.95,217,WAF,Admin,China,6,Technology,49,Block IP
Cross-Site Scripting,User Account,Failure,2024-05-26 23:40:01.267371,115.98.157.219,118.7.140.87,98.14,239,Endpoint Detection,External User,Germany,10,Finance,32,Quarantine
Brute Force,Database,Failure,2023-11-03 10:09:02.267376,62.112.107.34,49.64.100.195,38.49,226,Firewall,Employee,France,7,Technology,126,Patch
Cross-Site Scripting,Web Server,Failure,2024-03-20 23:46:16.267381,145.136.177.246,149.110.73.53,9.46,90,Firewall,Contractor,Russia,4,Retail,50,Patch
DDoS,Email Server,Success,2024-06-25 04:29:44.267388,142.15.216.236,77.75.164.135,75.7,32,WAF,Admin,Germany,4,Manufacturing,13,Quarantine
SQL Injection,API,Failure,2024-07-05 01:31:51.267408,41.117.82.106,66.80.111.149,7.76,160,IDS,Admin,USA,1,Healthcare,41,Containment
DDoS,API,Failure,2024-01-28 20:32:11.267415,225.151.215.207,83.200.192.18,88.01,168,Antivirus,Contractor,Canada,9,Manufacturing,136,Block IP
SQL Injection,API,Failure,2024-07-16 21:39:15.267420,39.160.213.18,145.179.223.225,94.96,103,VPN,Contractor,Brazil,4,Retail,76,Patch
Brute Force,IoT Device,Failure,2023-12-17 03:52:46.267425,37.49.190.175,27.253.84.200,29.39,152,Antivirus,Employee,Russia,2,Energy,63,Quarantine
Zero-Day Exploit,Database,Failure,2024-08-27 19:05:56.267430,211.107.183.105,136.117.221.200,10.02,287,IDS,External User,Russia,3,Finance,126,Containment
Brute Force,Database,Failure,2023-09-20 17:03:40.267435,14.37.51.174,94.102.209.62,46.03,9,IDS,Contractor,China,1,Healthcare,2,Block IP
Zero-Day Exploit,API,Success,2024-08-22 18:52:08.267440,139.44.130.150,38.107.25.59,27.84,8,Firewall,Admin,China,1,Finance,175,Block IP
DDoS,Email Server,Success,2023-09-09 05:37:26.267445,192.21.130.181,234.13.8.28,47.91,157,IDS,Contractor,Australia,7,Education,48,Containment
SQL Injection,Cloud Service,Failure,2024-02-25 04:30:26.267451,135.94.91.185,32.10.137.163,89.43,5,Firewall,Contractor,Canada,7,Manufacturing,25,Reset Credentials
Brute Force,API,Success,2024-01-14 02:18:00.267456,127.203.29.223,208.255.195.247,96.52,233,MFA,Admin,Germany,2,Education,66,Containment
Cross-Site Scripting,User Account,Failure,2024-04-23 21:24:13.267462,70.223.47.184,203.217.179.42,6.38,265,VPN,Contractor,USA,2,Education,72,Quarantine
Zero-Day Exploit,API,Failure,2023-10-23 18:36:26.267467,215.233.64.125,126.220.39.75,19.62,246,Firewall,External User,India,8,Technology,122,Containment
SQL Injection,Cloud Service,Failure,2024-03-18 17:31:22.267472,211.51.224.38,197.91.184.238,48.06,72,Antivirus,Employee,France,5,Finance,13,Quarantine
Ransomware,Database,Success,2024-06-28 04:56:43.267477,158.109.119.111,197.49.23.150,98.28,121,IDS,Admin,Germany,6,Healthcare,59,Patch
DDoS,User Account,Failure,2024-03-18 06:20:56.267482,12.84.101.239,132.175.78.110,29.39,282,IDS,Contractor,Russia,6,Government,125,Quarantine
Brute Force,Cloud Service,Failure,2024-02-22 04:41:04.267486,130.80.144.173,245.195.185.16,12.83,153,Endpoint Detection,Contractor,UK,6,Healthcare,114,Patch
Phishing,API,Failure,2024-06-30 10:09:49.267492,214.9.189.108,185.12.4.60,99.79,84,MFA,Employee,Brazil,9,Manufacturing,109,Patch
Phishing,Web Server,Success,2024-08-08 11:22:52.267497,89.158.115.51,43.136.241.216,39.39,224,WAF,Employee,Australia,8,Manufacturing,18,Containment
Ransomware,User Account,Failure,2024-03-16 05:47:26.267504,134.6.186.86,58.195.116.98,95.62,176,IDS,Admin,Canada,1,Government,116,Quarantine
SQL Injection,Database,Success,2023-10-20 13:12:26.267509,42.223.251.217,120.9.224.35,94.33,195,WAF,Employee,India,6,Finance,72,Patch
Brute Force,API,Success,2024-04-12 02:07:03.267515,112.70.96.191,184.96.76.33,68.82,14,VPN,Employee,Germany,9,Manufacturing,170,Reset Credentials
Zero-Day Exploit,API,Failure,2024-05-04 13:34:15.267521,122.68.103.69,64.94.134.241,52.0,185,SIEM,External User,USA,1,Education,66,Containment
Zero-Day Exploit,Email Server,Failure,2023-10-09 18:46:17.267526,189.72.30.171,42.221.89.147,94.0,205,Antivirus,Employee,Brazil,8,Manufacturing,115,Containment
DDoS,User Account,Failure,2023-11-20 03:52:20.267532,130.108.210.65,12.58.85.64,74.7,293,IDS,External User,Germany,5,Energy,62,Block IP
Brute Force,API,Success,2024-04-11 04:17:07.267537,73.123.177.137,239.229.90.216,80.66,240,IDS,Employee,China,7,Energy,10,Patch
Cross-Site Scripting,API,Failure,2024-04-01 16:54:17.267543,235.79.250.60,51.229.143.189,72.05,61,IDS,Contractor,China,6,Retail,23,Reset Credentials
Malware,Network Switch,Success,2023-12-30 16:03:51.267549,42.124.53.13,55.93.15.53,29.3,120,SIEM,Admin,Canada,2,Retail,1,Block IP
SQL Injection,IoT Device,Success,2024-04-17 22:17:19.267554,240.134.249.19,66.187.25.221,83.21,21,Antivirus,Contractor,France,9,Finance,38,Block IP
Ransomware,Network Switch,Success,2023-10-02 01:00:24.267559,199.104.34.152,30.76.155.175,12.53,139,Firewall,Admin,Brazil,3,Retail,134,Block IP
Malware,User Account,Failure,2024-06-09 21:01:26.267565,197.224.152.6,194.86.172.202,8.5,159,Endpoint Detection,Admin,USA,3,Technology,77,Patch
Cross-Site Scripting,Network Switch,Success,2024-03-01 20:42:33.267571,130.99.158.140,66.46.70.148,81.24,282,SIEM,Employee,Brazil,5,Manufacturing,38,Patch
Brute Force,Web Server,Success,2023-11-30 04:00:38.267576,33.145.127.155,83.202.161.200,42.11,87,WAF,Contractor,India,4,Education,166,Containment
Malware,API,Failure,2024-08-28 21:39:10.267582,244.78.110.153,8.7.167.122,28.6,192,WAF,External User,Germany,3,Technology,18,Quarantine
Ransomware,Cloud Service,Failure,2024-07-01 17:26:54.267587,158.253.136.36,196.207.248.42,76.53,77,MFA,Admin,Canada,4,Retail,173,Reset Credentials
SQL Injection,Cloud Service,Success,2023-09-26 09:16:10.267592,67.154.39.95,236.243.72.78,51.38,278,Antivirus,Contractor,Brazil,10,Energy,47,Quarantine
Malware,Network Switch,Failure,2024-06-15 15:16:26.267597,205.0.135.56,151.165.242.104,46.07,95,Endpoint Detection,Admin,China,1,Retail,174,Reset Credentials
Phishing,Database,Failure,2024-01-30 07:49:41.267602,132.49.197.206,109.160.103.100,51.34,47,WAF,Contractor,Canada,2,Technology,11,Quarantine
DDoS,Cloud Service,Failure,2024-01-16 08:59:30.267607,128.213.63.150,64.139.196.239,79.48,118,MFA,Contractor,Australia,3,Government,6,Reset Credentials
Malware,Database,Success,2024-06-15 09:41:50.267612,87.225.192.236,243.221.48.85,98.11,255,MFA,External User,UK,5,Finance,57,Block IP
Cross-Site Scripting,Network Switch,Failure,2023-10-14 15:03:21.267617,149.140.119.87,17.242.204.149,92.96,12,SIEM,Employee,China,10,Retail,13,Block IP
Phishing,Database,Failure,2024-06-29 20:35:48.267622,39.95.17.209,220.32.138.229,58.71,1,Endpoint Detection,Contractor,France,4,Manufacturing,9,Block IP
Cross-Site Scripting,Cloud Service,Success,2024-07-19 12:09:52.267627,78.203.29.120,237.173.37.184,27.56,19,IDS,Contractor,Germany,8,Government,176,Containment
Zero-Day Exploit,Network Switch,Failure,2023-11-15 20:55:21.267631,206.43.207.115,36.186.173.121,45.9,165,Endpoint Detection,Contractor,China,8,Government,123,Patch
Ransomware,Network Switch,Success,2024-03-02 16:16:48.267636,197.83.84.81,21.121.31.221,30.16,178,VPN,Contractor,Australia,9,Technology,73,Quarantine
DDoS,Email Server,Failure,2024-03-17 11:48:14.267641,58.203.56.96,124.160.176.149,99.0,187,SIEM,External User,France,2,Education,157,Quarantine
Cross-Site Scripting,Email Server,Success,2024-08-27 06:04:39.267646,98.196.204.122,165.242.246.193,69.14,122,IDS,Admin,China,4,Technology,68,Reset Credentials
SQL Injection,Database,Success,2023-10-11 10:17:37.267651,191.45.72.148,49.135.92.84,64.22,125,Firewall,Contractor,Canada,1,Manufacturing,105,Quarantine
Zero-Day Exploit,Email Server,Success,2024-02-06 18:32:37.267655,237.18.236.73,106.228.116.244,25.36,92,SIEM,External User,Brazil,8,Finance,56,Quarantine
Phishing,Email Server,Success,2024-02-10 20:36:03.267661,90.161.38.131,81.24.31.230,96.56,291,Firewall,Admin,Brazil,6,Energy,32,Reset Credentials
Malware,IoT Device,Failure,2024-02-21 14:12:11.267666,162.15.125.158,41.126.32.179,17.5,123,WAF,Contractor,USA,8,Technology,60,Quarantine
Zero-Day Exploit,API,Success,2024-09-03 04:16:24.267671,17.38.206.223,172.26.64.5,90.84,238,WAF,Admin,USA,2,Finance,151,Reset Credentials
Cross-Site Scripting,Database,Failure,2024-09-03 20:08:15.267676,12.245.87.175,143.69.221.185,85.46,126,WAF,Contractor,Russia,2,Healthcare,13,Patch
Cross-Site Scripting,Network Switch,Success,2024-01-16 02:08:50.267681,103.200.155.153,228.251.138.145,69.07,228,Antivirus,External User,India,8,Manufacturing,167,Reset Credentials
Cross-Site Scripting,Network Switch,Success,2024-03-07 12:21:41.267687,12.12.145.203,213.189.16.253,66.58,115,IDS,Employee,Brazil,6,Finance,19,Quarantine
Malware,IoT Device,Success,2023-12-09 21:35:21.267691,14.122.66.45,29.162.63.148,17.64,239,Antivirus,Contractor,France,10,Healthcare,31,Reset Credentials
Zero-Day Exploit,API,Success,2024-04-24 21:46:47.267696,113.187.100.143,96.181.9.31,39.78,287,MFA,Admin,France,7,Education,44,Quarantine
Malware,User Account,Failure,2024-03-06 10:06:42.267702,89.80.206.22,100.15.134.27,17.04,68,IDS,Admin,China,1,Education,97,Block IP
Phishing,IoT Device,Success,2024-05-03 11:47:01.267707,169.73.138.90,197.196.77.247,98.21,79,Endpoint Detection,Admin,Brazil,1,Government,159,Containment
Brute Force,User Account,Success,2023-12-01 07:17:36.267712,125.112.159.59,184.194.0.252,57.58,245,IDS,External User,France,1,Technology,63,Patch
Cross-Site Scripting,Network Switch,Failure,2024-02-04 10:07:39.267718,227.100.41.207,80.172.163.20,91.66,100,Endpoint Detection,External User,India,6,Technology,97,Patch
Ransomware,Email Server,Success,2024-03-01 02:54:12.267723,143.27.170.99,1.10.207.123,49.62,176,MFA,Admin,Russia,3,Energy,40,Block IP
Malware,Email Server,Failure,2023-12-03 20:29:59.267729,81.90.216.170,150.154.144.12,74.89,210,Firewall,External User,Germany,2,Healthcare,180,Quarantine
Zero-Day Exploit,Network Switch,Success,2023-12-14 13:10:41.267735,207.33.76.110,230.39.39.190,32.37,155,IDS,Employee,Australia,5,Manufacturing,3,Block IP
SQL Injection,IoT Device,Success,2024-04-06 02:12:37.267740,48.72.71.81,247.68.157.3,24.08,1,MFA,External User,Russia,2,Manufacturing,133,Patch
DDoS,IoT Device,Success,2024-04-21 17:04:34.267746,130.229.235.55,65.142.35.90,86.24,214,WAF,External User,India,7,Education,128,Block IP
Malware,API,Failure,2024-07-10 11:22:26.267751,28.168.17.208,178.218.241.71,3.59,88,Endpoint Detection,Employee,China,8,Education,40,Containment
Phishing,API,Failure,2023-09-30 18:53:39.267756,123.49.227.38,130.205.129.10,78.69,247,MFA,External User,UK,10,Manufacturing,125,Block IP
Zero-Day Exploit,API,Success,2023-12-30 21:38:46.267761,140.83.110.63,53.0.55.186,42.64,73,Endpoint Detection,Employee,France,9,Finance,135,Reset Credentials
SQL Injection,Cloud Service,Failure,2023-11-12 23:14:02.267766,116.232.95.10,39.134.238.131,9.19,253,SIEM,Employee,USA,10,Healthcare,134,Reset Credentials
SQL Injection,Web Server,Failure,2023-12-06 01:34:40.267771,215.34.96.192,56.234.201.253,13.98,154,SIEM,Admin,Canada,1,Energy,144,Block IP
DDoS,Cloud Service,Failure,2024-07-29 10:08:48.267776,22.47.90.111,46.225.94.227,9.97,84,Antivirus,Contractor,USA,8,Education,26,Reset Credentials
Phishing,Cloud Service,Success,2024-03-31 03:02:40.267781,109.65.21.71,110.3.235.133,0.03,57,VPN,External User,Canada,5,Manufacturing,27,Block IP
Malware,Web Server,Success,2023-10-05 09:05:40.267786,246.93.206.109,217.13.60.200,50.88,262,SIEM,Admin,Australia,7,Finance,160,Quarantine
DDoS,Network Switch,Success,2024-04-28 03:14:11.267791,116.24.35.213,92.68.110.179,34.9,266,SIEM,External User,India,3,Education,86,Reset Credentials
Zero-Day Exploit,Database,Success,2024-03-10 21:27:44.267797,170.7.10.4,240.3.135.173,53.75,46,SIEM,Contractor,India,4,Healthcare,54,Reset Credentials
DDoS,Web Server,Success,2024-06-06 17:05:33.267802,157.108.9.159,146.170.74.248,55.83,94,Endpoint Detection,External User,Australia,3,Education,106,Patch
Malware,IoT Device,Failure,2024-03-17 19:08:16.267808,202.19.36.233,97.144.183.240,64.8,96,SIEM,External User,Brazil,9,Healthcare,139,Patch
Brute Force,IoT Device,Success,2024-01-26 08:32:37.267814,123.87.210.186,157.69.12.155,41.79,109,Antivirus,Admin,UK,9,Technology,25,Patch
Brute Force,Database,Success,2024-03-01 07:42:42.267819,6.178.127.67,18.207.9.225,17.91,261,VPN,Employee,USA,5,Government,143,Patch
Brute Force,Network Switch,Success,2024-06-26 01:22:28.267824,167.116.184.51,131.49.217.211,93.91,216,MFA,Admin,Russia,9,Technology,87,Containment
Malware,User Account,Failure,2024-01-30 14:54:42.267830,93.236.191.90,16.110.93.166,65.49,129,Firewall,Admin,USA,3,Education,5,Reset Credentials
Cross-Site Scripting,Database,Failure,2023-11-23 22:16:40.267835,14.48.66.41,150.95.143.117,31.77,83,Antivirus,Employee,India,9,Government,54,Quarantine
Malware,Web Server,Success,2024-03-15 22:53:26.267841,27.66.21.243,104.122.197.201,37.58,75,VPN,External User,Brazil,2,Finance,46,Containment
SQL Injection,User Account,Failure,2024-04-06 21:52:00.267846,190.220.54.157,43.36.119.109,1.04,210,MFA,Contractor,France,8,Finance,151,Block IP
DDoS,User Account,Failure,2023-11-06 13:16:11.267852,98.202.229.213,234.75.194.19,8.83,92,SIEM,Contractor,China,10,Technology,54,Reset Credentials
Brute Force,Database,Failure,2024-02-27 13:20:58.267869,45.203.20.102,229.101.171.30,83.43,155,Antivirus,Contractor,Russia,7,Energy,157,Block IP
Zero-Day Exploit,Cloud Service,Success,2024-06-02 13:57:09.267876,22.62.101.69,140.214.129.46,53.42,122,SIEM,Contractor,Russia,5,Technology,72,Reset Credentials
SQL Injection,Email Server,Failure,2024-04-17 11:26:17.267881,163.53.237.40,161.149.69.245,37.29,109,VPN,Contractor,USA,3,Technology,175,Reset Credentials
Zero-Day Exploit,API,Failure,2023-10-28 16:18:26.267887,50.37.174.145,143.153.209.128,22.27,7,Antivirus,Employee,Brazil,7,Finance,180,Patch
Malware,Cloud Service,Failure,2024-06-06 01:14:46.267893,186.209.78.156,207.99.16.126,33.84,264,MFA,External User,Germany,2,Government,15,Patch
Ransomware,Network Switch,Success,2023-09-22 16:54:36.267899,248.68.41.61,181.151.94.125,88.38,55,MFA,External User,India,7,Retail,16,Block IP
Brute Force,Cloud Service,Success,2023-09-17 12:46:24.267905,20.237.72.60,145.16.180.8,84.62,89,WAF,Employee,UK,6,Technology,144,Reset Credentials
SQL Injection,IoT Device,Success,2024-07-15 08:37:35.267910,112.134.124.11,228.139.79.241,68.5,220,VPN,Employee,Brazil,2,Education,144,Patch
Phishing,Database,Failure,2024-04-14 05:45:15.267916,201.65.210.171,179.177.61.130,14.28,27,IDS,Employee,France,2,Education,45,Containment
Malware,Email Server,Failure,2024-08-24 15:33:30.267921,160.175.102.24,196.94.93.169,38.34,196,WAF,External User,Brazil,9,Healthcare,147,Quarantine
Cross-Site Scripting,IoT Device,Failure,2024-02-11 09:22:52.267926,69.180.195.72,109.100.93.35,33.37,287,IDS,Admin,Russia,6,Education,2,Reset Credentials
SQL Injection,API,Failure,2024-04-20 16:17:12.267932,139.141.180.215,23.181.83.38,17.86,234,VPN,Admin,Australia,7,Finance,177,Block IP
SQL Injection,Cloud Service,Success,2024-07-20 17:25:19.267938,152.103.84.155,152.85.185.171,69.38,67,MFA,External User,Australia,7,Finance,172,Block IP
Cross-Site Scripting,Network Switch,Success,2024-03-10 14:52:59.267943,230.32.156.98,156.66.223.247,9.2,294,Endpoint Detection,Contractor,Australia,7,Government,109,Block IP
DDoS,IoT Device,Failure,2024-03-21 18:20:59.267948,17.35.100.166,83.153.162.6,89.63,126,Endpoint Detection,Contractor,China,6,Manufacturing,78,Patch
Malware,Network Switch,Failure,2024-01-26 14:28:18.267954,123.126.121.11,253.14.112.113,69.88,251,MFA,Employee,UK,2,Healthcare,29,Quarantine
Brute Force,IoT Device,Failure,2023-10-14 07:53:12.267960,228.170.150.249,131.35.119.239,99.81,125,VPN,External User,France,3,Retail,18,Block IP
Phishing,API,Failure,2024-06-22 21:04:08.267965,189.251.38.139,68.233.131.153,7.22,61,Endpoint Detection,Admin,Brazil,6,Retail,28,Reset Credentials
Phishing,IoT Device,Failure,2024-04-24 23:25:25.267971,160.90.165.20,109.125.37.235,18.33,25,WAF,External User,France,3,Technology,176,Patch
SQL Injection,API,Success,2023-09-13 03:04:54.267976,102.123.235.97,99.32.138.214,51.56,129,Firewall,Employee,UK,7,Education,86,Patch
Phishing,Network Switch,Success,2024-02-15 00:42:19.267982,110.168.63.154,67.154.220.157,35.44,31,Firewall,Admin,UK,2,Energy,110,Patch
Malware,Email Server,Success,2023-10-29 01:25:43.267987,182.126.173.184,97.88.45.85,31.25,179,WAF,Contractor,USA,8,Finance,73,Quarantine
Ransomware,Database,Failure,2023-12-07 14:10:06.267993,157.215.165.161,97.196.221.141,81.22,273,Antivirus,Employee,India,1,Retail,82,Quarantine
Cross-Site Scripting,Email Server,Success,2024-06-24 16:03:15.268004,15.90.30.82,29.198.227.103,44.66,256,Endpoint Detection,Employee,Brazil,3,Energy,178,Containment
Cross-Site Scripting,Network Switch,Failure,2024-03-03 00:57:49.268010,36.65.6.18,56.127.132.88,86.73,141,WAF,Admin,UK,1,Healthcare,170,Block IP
Ransomware,API,Failure,2024-02-21 19:03:58.268015,232.2.46.222,102.138.108.74,81.51,142,MFA,External User,Canada,7,Education,121,Patch
SQL Injection,IoT Device,Failure,2024-01-04 22:34:15.268021,6.40.116.199,248.142.137.50,66.22,282,Endpoint Detection,Contractor,Brazil,2,Finance,114,Containment
DDoS,Web Server,Success,2023-10-09 07:07:41.268026,201.166.20.210,230.9.127.130,43.82,212,Endpoint Detection,Contractor,Brazil,9,Education,12,Containment
SQL Injection,IoT Device,Success,2023-09-30 10:42:47.268032,116.230.188.74,152.218.162.145,57.38,170,Firewall,Admin,USA,3,Education,39,Containment
Phishing,IoT Device,Failure,2024-02-05 04:04:18.268037,178.173.211.229,111.166.94.159,34.9,7,Firewall,Contractor,Brazil,7,Energy,14,Reset Credentials
SQL Injection,Cloud Service,Failure,2023-10-14 21:47:09.268043,55.184.77.16,179.151.239.86,41.89,88,SIEM,Employee,Russia,5,Retail,64,Patch
Malware,Email Server,Failure,2024-03-25 21:32:42.268048,140.245.130.108,221.168.180.40,2.9,273,VPN,External User,Russia,5,Government,26,Block IP
DDoS,Network Switch,Failure,2023-11-29 08:12:06.268053,74.30.156.59,55.38.204.34,10.08,5,Firewall,External User,Australia,10,Healthcare,30,Quarantine
Malware,Network Switch,Failure,2024-07-23 08:33:04.268058,219.222.35.198,172.95.38.61,35.28,216,Endpoint Detection,Admin,Canada,9,Education,15,Quarantine
Zero-Day Exploit,Web Server,Success,2024-03-09 06:01:17.268062,19.20.44.238,242.165.123.249,22.07,173,IDS,External User,India,2,Finance,118,Quarantine
SQL Injection,User Account,Success,2023-11-17 00:52:33.268067,248.182.85.98,13.132.43.5,96.62,50,IDS,Employee,Canada,8,Energy,112,Containment
Brute Force,Cloud Service,Failure,2024-06-20 03:27:23.268072,98.234.140.25,96.172.195.177,4.13,218,Antivirus,Contractor,China,2,Manufacturing,123,Containment
SQL Injection,Web Server,Success,2024-03-11 07:02:43.268076,100.157.153.78,133.83.156.6,48.8,133,Endpoint Detection,Contractor,China,9,Government,9,Block IP
Phishing,User Account,Failure,2024-07-02 07:24:58.268080,132.208.23.104,220.135.69.188,16.7,200,IDS,Admin,Brazil,8,Energy,139,Block IP
DDoS,Web Server,Success,2024-01-13 16:43:08.268085,193.145.229.183,64.119.38.0,80.72,195,IDS,Contractor,Russia,8,Technology,15,Block IP
Brute Force,Web Server,Success,2023-12-20 17:45:30.268090,203.140.80.139,77.46.146.35,63.62,197,WAF,Admin,USA,9,Energy,123,Patch
DDoS,Network Switch,Failure,2023-12-30 02:33:15.268094,116.101.225.9,253.148.102.255,4.16,266,SIEM,Admin,India,7,Retail,86,Reset Credentials
Cross-Site Scripting,User Account,Failure,2023-11-29 12:19:28.268099,208.224.77.40,218.100.245.147,63.64,126,VPN,External User,Russia,10,Finance,42,Patch
SQL Injection,IoT Device,Failure,2024-05-15 03:30:05.268103,182.19.124.237,162.155.133.34,84.66,60,Endpoint Detection,Admin,India,8,Technology,44,Patch
Ransomware,API,Success,2023-12-13 06:13:36.268108,226.228.96.134,158.218.236.162,2.94,265,SIEM,Employee,China,5,Technology,178,Containment
Cross-Site Scripting,Web Server,Success,2024-03-02 12:29:12.268113,247.237.194.181,156.209.154.240,42.55,24,SIEM,Contractor,Canada,7,Retail,136,Patch
Malware,API,Failure,2024-06-04 05:47:05.268117,238.243.6.254,196.137.209.224,54.96,70,VPN,Admin,India,5,Energy,172,Reset Credentials
Cross-Site Scripting,Network Switch,Success,2024-02-22 07:47:37.268122,134.132.195.129,5.199.139.234,22.95,265,IDS,Employee,Russia,6,Healthcare,160,Reset Credentials
Cross-Site Scripting,IoT Device,Success,2024-07-08 08:31:23.268126,126.195.41.16,144.220.153.92,10.63,28,Firewall,Admin,Australia,8,Government,114,Block IP
Ransomware,Web Server,Success,2024-03-04 16:38:07.268131,130.41.49.7,62.25.105.118,10.29,279,Firewall,Admin,Brazil,7,Manufacturing,103,Patch
SQL Injection,Network Switch,Success,2024-03-04 01:46:37.268135,182.236.60.181,98.4.127.108,70.77,124,WAF,Admin,Australia,9,Manufacturing,46,Reset Credentials
Brute Force,Database,Failure,2023-09-22 22:39:05.268140,126.188.229.126,76.87.118.179,75.72,63,VPN,Contractor,USA,7,Manufacturing,3,Containment
DDoS,API,Failure,2023-09-19 12:16:09.268144,239.112.29.205,243.185.149.156,78.25,131,MFA,Admin,Brazil,4,Finance,75,Patch
Malware,Cloud Service,Success,2024-04-03 10:47:00.268149,130.18.29.212,122.226.212.180,84.66,158,Antivirus,Contractor,Germany,1,Energy,43,Containment
Cross-Site Scripting,Email Server,Success,2024-03-18 17:29:47.268153,80.140.14.64,174.23.47.7,74.91,19,Endpoint Detection,External User,Australia,10,Government,179,Block IP
Ransomware,Web Server,Failure,2024-07-29 16:10:11.268158,9.57.141.165,21.66.35.173,47.37,220,IDS,Employee,Australia,4,Education,102,Block IP
Cross-Site Scripting,Cloud Service,Failure,2024-03-21 02:26:35.268162,200.69.182.215,5.58.199.172,57.9,96,SIEM,Contractor,Russia,7,Government,79,Containment
Phishing,API,Success,2024-01-09 18:49:12.268167,201.137.43.53,167.159.155.117,26.12,186,SIEM,External User,India,7,Retail,147,Containment
Phishing,Email Server,Failure,2024-06-12 00:25:29.268171,9.168.33.169,103.57.70.71,34.99,54,IDS,External User,Canada,10,Technology,70,Patch
Brute Force,Cloud Service,Failure,2024-05-03 00:45:09.268176,81.120.67.134,235.14.52.17,75.02,106,WAF,Employee,Brazil,4,Technology,80,Quarantine
Phishing,Web Server,Success,2023-10-04 06:31:36.268180,104.109.76.50,69.13.158.170,9.69,282,VPN,Employee,Canada,8,Technology,98,Block IP
Brute Force,API,Success,2024-06-23 04:38:22.268185,5.55.213.121,111.67.31.61,38.53,299,WAF,Contractor,Australia,10,Manufacturing,155,Block IP
Phishing,API,Success,2023-10-15 11:41:31.268189,217.40.253.178,20.152.241.88,97.93,9,Firewall,Contractor,UK,9,Finance,116,Block IP
Brute Force,API,Success,2024-09-01 19:29:45.268194,241.33.220.151,8.107.230.130,99.04,187,SIEM,Admin,UK,3,Government,118,Block IP
Cross-Site Scripting,Cloud Service,Failure,2023-12-05 04:37:27.268199,37.215.191.193,115.197.209.167,4.09,67,SIEM,Employee,UK,10,Retail,24,Patch
SQL Injection,Database,Success,2023-09-12 22:59:28.268204,166.253.241.3,7.6.133.29,77.02,160,Endpoint Detection,Admin,India,7,Healthcare,7,Reset Credentials
Ransomware,Cloud Service,Success,2024-07-08 19:04:45.268208,121.99.170.113,49.29.94.56,64.91,147,IDS,External User,Australia,2,Government,147,Containment
Zero-Day Exploit,Email Server,Success,2024-06-01 15:59:41.268213,105.202.246.160,2.154.208.170,43.24,105,Antivirus,Employee,Russia,3,Manufacturing,125,Containment
Phishing,API,Success,2024-03-29 10:29:59.268218,102.137.75.32,228.223.233.183,67.24,164,IDS,Employee,Brazil,1,Retail,34,Block IP
Zero-Day Exploit,Network Switch,Success,2024-01-31 23:14:18.268223,121.151.250.15,75.178.22.242,1.3,262,MFA,Admin,China,5,Finance,17,Containment
Ransomware,Database,Success,2024-06-03 09:51:19.268228,20.136.212.138,222.117.94.125,14.39,201,VPN,Employee,France,4,Energy,104,Containment
Malware,Cloud Service,Success,2023-12-30 07:00:42.268232,190.25.249.179,211.175.230.114,48.97,188,Firewall,External User,Germany,2,Energy,37,Reset Credentials
Phishing,Database,Success,2024-03-13 14:52:07.268237,88.114.128.175,55.249.165.235,30.29,174,Endpoint Detection,Employee,Canada,6,Retail,91,Containment
Malware,Cloud Service,Success,2024-04-08 22:39:18.268242,123.39.242.49,45.210.240.85,5.21,80,SIEM,Employee,Russia,6,Healthcare,148,Quarantine
Phishing,API,Success,2024-07-05 07:21:16.268246,131.117.64.36,8.231.0.51,86.56,9,SIEM,Contractor,France,9,Retail,105,Block IP
Cross-Site Scripting,IoT Device,Failure,2024-03-20 02:12:58.268251,56.104.21.196,244.226.83.168,11.34,254,VPN,Employee,India,4,Retail,31,Quarantine
Zero-Day Exploit,Cloud Service,Failure,2024-08-22 20:48:34.268256,151.162.89.234,66.166.65.244,50.43,231,Firewall,Admin,China,9,Retail,19,Block IP
Ransomware,Network Switch,Failure,2024-02-02 22:18:21.268263,216.25.76.58,57.129.187.107,45.66,77,WAF,External User,Russia,5,Energy,88,Reset Credentials
Cross-Site Scripting,Email Server,Success,2024-07-10 09:18:31.268267,208.109.211.56,94.17.139.62,61.36,71,Firewall,External User,Russia,6,Technology,19,Patch
Malware,Network Switch,Success,2024-07-17 00:32:13.268272,86.8.88.131,36.85.197.71,15.7,296,IDS,Contractor,Germany,6,Retail,147,Quarantine
Ransomware,User Account,Success,2023-10-14 13:24:00.268277,48.13.142.35,241.185.132.57,73.18,136,IDS,External User,UK,10,Manufacturing,92,Reset Credentials
Cross-Site Scripting,IoT Device,Success,2024-01-01 09:47:30.268283,210.111.108.50,64.98.80.237,26.35,201,IDS,Employee,France,5,Education,61,Containment
SQL Injection,Web Server,Failure,2024-03-23 07:10:09.268288,104.178.93.132,160.139.199.126,12.97,137,Antivirus,Admin,Australia,4,Finance,150,Block IP
